iteration, group, reviewedItemsCount, tp, fp, fn, tn, tpr, ppv, tnr, bm, acc, err, f1
4, All, 218, 532, 22, 68, 2378, 0.8866666666666667, 0.9602888086642599, 0.9908333333333333, 0.8775, 0.97, 0.03, 0.9220103986135183
4, Under80, 218, 49, 12, 35, 97, 0.5833333333333334, 0.8032786885245902, 0.8899082568807339, 0.4732415902140672, 0.7564766839378239, 0.24352331606217617, 0.6758620689655173
4, Over80, 218, 483, 10, 33, 2281, 0.936046511627907, 0.9797160243407708, 0.9956350938454823, 0.9316816054733894, 0.9846811542572141, 0.015318845742785893, 0.9573835480673933
5, All, 193, 538, 18, 62, 2382, 0.8966666666666666, 0.9676258992805755, 0.9925, 0.8891666666666667, 0.9733333333333334, 0.02666666666666667, 0.9307958477508649
5, Under80, 193, 74, 12, 33, 124, 0.6915887850467289, 0.8604651162790697, 0.9117647058823529, 0.6033534909290819, 0.8148148148148148, 0.18518518518518517, 0.7668393782383418
5, Over80, 193, 464, 6, 29, 2258, 0.9411764705882353, 0.9872340425531915, 0.9973498233215548, 0.93852629390979, 0.9873050417120058, 0.012694958287994197, 0.9636552440290758
6, All, 243, 493, 16, 107, 2384, 0.8216666666666667, 0.9685658153241651, 0.9933333333333333, 0.815, 0.959, 0.041, 0.8890892696122632
6, Under80, 243, 75, 10, 54, 96, 0.5813953488372093, 0.8823529411764706, 0.9056603773584906, 0.4870557261956998, 0.7276595744680852, 0.2723404255319149, 0.7009345794392524
6, Over80, 243, 418, 6, 53, 2288, 0.8874734607218684, 0.9858490566037735, 0.997384481255449, 0.8848579419773173, 0.9786618444846293, 0.021338155515370705, 0.9340782122905029
7, All, 235, 516, 16, 84, 2384, 0.86, 0.9699248120300752, 0.9933333333333333, 0.8533333333333333, 0.9666666666666667, 0.03333333333333333, 0.9116607773851589
7, Under80, 235, 51, 10, 39, 91, 0.5666666666666667, 0.8360655737704918, 0.900990099009901, 0.4676567656765678, 0.743455497382199, 0.25654450261780104, 0.6754966887417219
7, Over80, 235, 465, 6, 45, 2293, 0.9117647058823529, 0.9872611464968153, 0.9973901696389734, 0.9091548755213263, 0.9818440726237095, 0.018155927376290494, 0.9480122324159022
8, All, 191, 510, 14, 90, 2386, 0.85, 0.9732824427480916, 0.9941666666666666, 0.8441666666666667, 0.9653333333333334, 0.034666666666666665, 0.9074733096085409
8, Under80, 191, 66, 7, 44, 124, 0.6, 0.9041095890410958, 0.9465648854961832, 0.5465648854961831, 0.7883817427385892, 0.21161825726141079, 0.7213114754098361
8, Over80, 191, 444, 7, 46, 2262, 0.9061224489795918, 0.9844789356984479, 0.996914940502424, 0.9030373894820158, 0.9807901413555636, 0.01920985864443639, 0.9436769394261423
9, All, 241, 531, 13, 69, 2387, 0.885, 0.9761029411764706, 0.9945833333333334, 0.8795833333333334, 0.9726666666666667, 0.027333333333333334, 0.9283216783216783
9, Under80, 241, 56, 9, 43, 94, 0.5656565656565656, 0.8615384615384616, 0.912621359223301, 0.47827792487986676, 0.7425742574257426, 0.25742574257425743, 0.6829268292682926
9, Over80, 241, 475, 4, 26, 2293, 0.9481037924151696, 0.9916492693110647, 0.9982585981715281, 0.9463623905866978, 0.9892780557541101, 0.010721944245889922, 0.9693877551020407
10, All, 202, 529, 22, 71, 2378, 0.8816666666666667, 0.9600725952813067, 0.9908333333333333, 0.8725, 0.969, 0.031, 0.9192006950477845
10, Under80, 202, 60, 16, 42, 127, 0.5882352941176471, 0.7894736842105263, 0.8881118881118881, 0.4763471822295351, 0.763265306122449, 0.23673469387755103, 0.6741573033707866
10, Over80, 202, 469, 6, 29, 2251, 0.9417670682730924, 0.9873684210526316, 0.997341603898981, 0.9391086721720734, 0.9872958257713249, 0.012704174228675136, 0.9640287769784173
