iteration, group, reviewedItemsCount, tp, fp, fn, tn, tpr, ppv, tnr, bm, acc, err, f1
2, Over80, 214, 564, 22, 7, 2778, 0.9877408056042032, 0.962457337883959, 0.9921428571428571, 0.9798836627470604, 0.9913972115099378, 0.008602788490062296, 0.9749351771823682
3, All, 229, 576, 34, 24, 2966, 0.96, 0.9442622950819672, 0.9886666666666667, 0.9486666666666665, 0.9838888888888889, 0.01611111111111111, 0.9520661157024793
3, Under80, 229, 30, 16, 16, 180, 0.6521739130434783, 0.6521739130434783, 0.9183673469387755, 0.5705412599822539, 0.8677685950413223, 0.1322314049586777, 0.6521739130434783
3, Over80, 229, 546, 18, 8, 2786, 0.9855595667870036, 0.9680851063829787, 0.9935805991440799, 0.9791401659310837, 0.9922572960095295, 0.007742703990470518, 0.9767441860465116
4, All, 242, 584, 44, 16, 2956, 0.9733333333333334, 0.9299363057324841, 0.9853333333333333, 0.9586666666666668, 0.9833333333333333, 0.016666666666666666, 0.9511400651465798
4, Under80, 242, 27, 24, 13, 217, 0.675, 0.5294117647058824, 0.9004149377593361, 0.5754149377593363, 0.8683274021352313, 0.13167259786476868, 0.5934065934065933
4, Over80, 242, 557, 20, 3, 2739, 0.9946428571428572, 0.9653379549393414, 0.9927509967379485, 0.9873938538808056, 0.9930702018680325, 0.00692979813196746, 0.9797713280562884
5, All, 281, 574, 45, 26, 2955, 0.9566666666666667, 0.9273021001615509, 0.985, 0.9416666666666667, 0.9802777777777778, 0.01972222222222222, 0.9417555373256767
5, Under80, 281, 25, 28, 13, 198, 0.6578947368421053, 0.4716981132075472, 0.8761061946902655, 0.5340009315323708, 0.8446969696969697, 0.1553030303030303, 0.5494505494505494
5, Over80, 281, 549, 17, 13, 2757, 0.9768683274021353, 0.9699646643109541, 0.9938716654650325, 0.9707399928671676, 0.9910071942446043, 0.008992805755395683, 0.973404255319149
6, All, 264, 568, 27, 32, 2973, 0.9466666666666667, 0.9546218487394958, 0.991, 0.9376666666666666, 0.9836111111111111, 0.01638888888888889, 0.9506276150627615
6, Under80, 264, 40, 15, 20, 214, 0.6666666666666666, 0.7272727272727273, 0.9344978165938864, 0.6011644832605532, 0.8788927335640139, 0.12110726643598616, 0.6956521739130435
6, Over80, 264, 528, 12, 12, 2759, 0.9777777777777777, 0.9777777777777777, 0.9956694334175388, 0.9734472111953165, 0.9927514346118997, 0.007248565388100272, 0.9777777777777777
7, All, 289, 579, 27, 21, 2973, 0.965, 0.9554455445544554, 0.991, 0.956, 0.9866666666666667, 0.013333333333333334, 0.9601990049751244
7, Under80, 289, 33, 19, 12, 200, 0.7333333333333333, 0.6346153846153846, 0.91324200913242, 0.6465753424657534, 0.8825757575757576, 0.11742424242424243, 0.6804123711340205
7, Over80, 289, 546, 8, 9, 2773, 0.9837837837837838, 0.9855595667870036, 0.9971233369291622, 0.9809071207129461, 0.9949040767386091, 0.005095923261390888, 0.9846708746618575
8, All, 264, 577, 27, 23, 2973, 0.9616666666666667, 0.9552980132450332, 0.991, 0.9526666666666666, 0.9861111111111112, 0.013888888888888888, 0.9584717607973422
8, Under80, 264, 38, 12, 16, 210, 0.7037037037037037, 0.76, 0.9459459459459459, 0.6496496496496498, 0.8985507246376812, 0.10144927536231885, 0.7307692307692308
8, Over80, 264, 539, 15, 7, 2763, 0.9871794871794872, 0.9729241877256317, 0.9946004319654428, 0.9817799191449299, 0.99338146811071, 0.006618531889290012, 0.98
9, All, 276, 579, 34, 21, 2966, 0.965, 0.9445350734094616, 0.9886666666666667, 0.9536666666666667, 0.9847222222222223, 0.015277777777777777, 0.9546578730420445
9, Under80, 276, 21, 17, 15, 225, 0.5833333333333334, 0.5526315789473685, 0.9297520661157025, 0.5130853994490359, 0.8848920863309353, 0.11510791366906475, 0.5675675675675677
9, Over80, 276, 558, 17, 6, 2741, 0.9893617021276596, 0.9704347826086956, 0.9938361131254533, 0.9831978152531129, 0.9930764599638772, 0.006923540036122818, 0.9798068481123793
10, All, 278, 566, 33, 34, 2967, 0.9433333333333334, 0.9449081803005008, 0.989, 0.9323333333333332, 0.9813888888888889, 0.01861111111111111, 0.9441201000834027
10, Under80, 278, 26, 15, 18, 213, 0.5909090909090909, 0.6341463414634146, 0.9342105263157895, 0.5251196172248804, 0.8786764705882353, 0.1213235294117647, 0.611764705882353
10, Over80, 278, 540, 18, 16, 2754, 0.9712230215827338, 0.967741935483871, 0.9935064935064936, 0.9647295150892274, 0.9897836538461539, 0.010216346153846154, 0.9694793536804308
