iteration, group, reviewedItemsCount, tp, fp, fn, tn, tpr, ppv, tnr, bm, acc, err, f1
2, Over80, 214, 546, 9, 6, 2810, 0.9891304347826086, 0.9837837837837838, 0.9968073785030153, 0.985937813285624, 0.995550281815485, 0.004449718184514981, 0.986449864498645
3, All, 229, 569, 34, 31, 2966, 0.9483333333333334, 0.9436152570480929, 0.9886666666666667, 0.937, 0.9819444444444444, 0.018055555555555554, 0.945968412302577
3, Under80, 229, 27, 19, 21, 175, 0.5625, 0.5869565217391305, 0.9020618556701031, 0.464561855670103, 0.8347107438016529, 0.1652892561983471, 0.5744680851063831
3, Over80, 229, 542, 15, 10, 2791, 0.9818840579710145, 0.9730700179533214, 0.9946543121881682, 0.9765383701591828, 0.9925550923168552, 0.007444907683144729, 0.9774571686203787
4, All, 242, 566, 36, 34, 2964, 0.9433333333333334, 0.9401993355481728, 0.988, 0.9313333333333333, 0.9805555555555555, 0.019444444444444445, 0.9417637271214643
4, Under80, 242, 45, 23, 22, 191, 0.6716417910447762, 0.6617647058823529, 0.8925233644859814, 0.5641651555307576, 0.8398576512455516, 0.1601423487544484, 0.6666666666666667
4, Over80, 242, 521, 13, 12, 2773, 0.9774859287054409, 0.9756554307116105, 0.9953338119167265, 0.9728197406221675, 0.9924676107261223, 0.007532389273877674, 0.9765698219306467
5, All, 281, 567, 30, 33, 2970, 0.945, 0.949748743718593, 0.99, 0.935, 0.9825, 0.0175, 0.9473684210526316
5, Under80, 281, 26, 16, 19, 203, 0.5777777777777777, 0.6190476190476191, 0.9269406392694064, 0.5047184170471841, 0.8674242424242424, 0.13257575757575757, 0.5977011494252873
5, Over80, 281, 541, 14, 14, 2767, 0.9747747747747748, 0.9747747747747748, 0.9949658396260338, 0.9697406144008087, 0.9916067146282974, 0.008393285371702638, 0.9747747747747748
6, All, 264, 581, 46, 19, 2954, 0.9683333333333334, 0.9266347687400319, 0.9846666666666667, 0.9530000000000001, 0.9819444444444444, 0.018055555555555554, 0.9470252648736757
6, Under80, 264, 34, 24, 9, 222, 0.7906976744186046, 0.5862068965517241, 0.9024390243902439, 0.6931366988088485, 0.8858131487889274, 0.11418685121107267, 0.6732673267326732
6, Over80, 264, 547, 22, 10, 2732, 0.9820466786355476, 0.961335676625659, 0.9920116194625999, 0.9740582980981474, 0.9903352461491997, 0.009664753850800362, 0.9715808170515098
7, All, 289, 578, 32, 22, 2968, 0.9633333333333334, 0.9475409836065574, 0.9893333333333333, 0.9526666666666666, 0.985, 0.015, 0.9553719008264463
7, Under80, 289, 28, 16, 14, 206, 0.6666666666666666, 0.6363636363636364, 0.9279279279279279, 0.5945945945945945, 0.8863636363636364, 0.11363636363636363, 0.6511627906976744
7, Over80, 289, 550, 16, 8, 2762, 0.985663082437276, 0.9717314487632509, 0.994240460763139, 0.9799035432004151, 0.9928057553956835, 0.007194244604316547, 0.9786476868327401
8, All, 264, 574, 38, 26, 2962, 0.9566666666666667, 0.9379084967320261, 0.9873333333333333, 0.944, 0.9822222222222222, 0.017777777777777778, 0.9471947194719471
8, Under80, 264, 37, 26, 18, 195, 0.6727272727272727, 0.5873015873015873, 0.8823529411764706, 0.5550802139037434, 0.8405797101449275, 0.15942028985507245, 0.6271186440677966
8, Over80, 264, 537, 12, 8, 2767, 0.9853211009174312, 0.9781420765027322, 0.9956818999640158, 0.981003000881447, 0.9939831528279182, 0.006016847172081829, 0.9817184643510054
9, All, 276, 576, 33, 24, 2967, 0.96, 0.9458128078817734, 0.989, 0.9489999999999998, 0.9841666666666666, 0.015833333333333335, 0.9528535980148883
9, Under80, 276, 34, 22, 17, 205, 0.6666666666666666, 0.6071428571428571, 0.9030837004405287, 0.5697503671071953, 0.8597122302158273, 0.14028776978417265, 0.6355140186915887
9, Over80, 276, 542, 11, 7, 2762, 0.9872495446265938, 0.9801084990958409, 0.9960331770645511, 0.9832827216911448, 0.9945815773630343, 0.005418422636965683, 0.9836660617059891
10, All, 278, 567, 42, 33, 2958, 0.945, 0.9310344827586207, 0.986, 0.931, 0.9791666666666666, 0.020833333333333332, 0.9379652605459057
10, Under80, 278, 27, 16, 18, 211, 0.6, 0.627906976744186, 0.9295154185022027, 0.5295154185022026, 0.875, 0.125, 0.6136363636363636
10, Over80, 278, 540, 26, 15, 2747, 0.972972972972973, 0.9540636042402827, 0.9906238730616661, 0.9635968460346391, 0.9876802884615384, 0.012319711538461538, 0.9634255129348797
