iter, count, min, max, mean, geometricMean, median, kurtosis, variance, skewness, sd, cf10, cf20, cf30, cf40, cf50, cf60, cf70, cf80, cf90
0,3000,0.3240915398204487,0.9947787570671833,0.9625283739009972,0.9573895733492097,0.9906502275728588,13.551504213212219,0.007487267630029103,-3.675935929860973,0.08652899878092375,0,0,0,1,12,49,121,195,262,3000
0a,3600,0.3148728037594193,1.0,0.9439071843832026,0.9352764563030305,0.990100075611761,7.249907941971861,0.01228707498040584,-2.774621560240937,0.11084707925969832,0,0,0,7,39,112,227,374,527,3600
1,3600,0.3470283432817766,1.0,0.9623367355828213,0.9570432314873201,0.9899221831708738,15.7517665986164,0.007520356912654489,-3.9251347427976873,0.08671999142443736,0,0,0,1,24,71,131,214,297,3600
2,3600,0.33124546130650107,1.0,0.9582703262834023,0.9522204712258656,0.9895189998356266,14.709274761971278,0.00844273812743703,-3.7570909716754675,0.09188437368474048,0,0,0,9,31,82,139,229,343,3600
3,3600,0.36153398838311546,1.0,0.9558517621307665,0.9498924872067621,0.9893278146868305,13.18886678189959,0.008456170753347253,-3.5684757208470224,0.09195743990209412,0,0,0,6,29,70,153,242,373,3600
4,3600,0.3510163188755457,1.0,0.9517000801745363,0.9448181857653458,0.9890352803543835,10.843898310656225,0.009743844111617942,-3.2855480616893415,0.09871091181636375,0,0,0,7,34,90,177,281,416,3600
5,3600,0.31568699232954167,1.0,0.9549316629381612,0.9489902117480072,0.9890324850412223,11.64029362763635,0.008566180360458009,-3.3918465190187703,0.09255366205860256,0,0,0,3,23,77,152,264,386,3600
6,3600,0.3163045589117902,1.0,0.9480256667272164,0.9407623372579719,0.9887915519327888,9.888646173113568,0.010281874134436311,-3.1408083228634616,0.1013995765989006,0,0,0,6,43,95,187,289,460,3600
7,3600,0.3191819666626895,1.0,0.9542130397816759,0.9481336911426432,0.9890337834032892,12.19547540081459,0.008675199410526187,-3.4339252521557495,0.09314075053662703,0,0,0,3,27,74,150,264,401,3600
8,3600,0.26749268420944455,1.0,0.9497609558410011,0.9423828167696657,0.988982910874994,11.36517845707632,0.010218108227094198,-3.300645982219943,0.10108465871285413,0,0,3,15,33,87,182,276,444,3600
9,3600,0.3106032008972888,1.0,0.9498874709987288,0.9426684808818943,0.9889530814152236,11.239017215709811,0.01006812090064687,-3.2993427840502383,0.10034002641342521,0,0,0,11,38,91,174,278,455,3600
10,3600,0.2862539484543615,1.0,0.95164152283383,0.9448829819017106,0.98906020924837,11.807279546072204,0.009484617793185048,-3.3720729768382385,0.09738900242422163,0,0,1,10,38,81,160,272,428,3600
